UserID+Query#,Duration in ms
11947+2,4
67195+0,0
11947+0,9
11947+3,0
55338+20,1
16988+7,39
16988+8,19
16988+9,22
79302+0,1428
79302+1,2070
79302+2,51
79302+3,2865
79302+4,726
79302+5,1072
79302+6,37
79302+7,35
55338+16,11
36908+13,335
9804+7,56
55338+17,11
36908+12,15
9804+6,65
55338+18,7
36908+11,16
9804+5,540
55338+19,5
36908+10,39
9804+4,548
9804+3,834
9804+2,101
9804+1,92
9804+0,118
16988+3,930
16988+4,1275
55338+10,37
16988+5,425
55338+11,72475
16988+6,52
55338+12,354
55338+13,17
16988+0,55
55338+14,183
16988+1,31
55338+15,22
16988+2,1043
36908+18,0
36908+17,5
36908+16,10
36908+15,165
9804+9,2305
36908+14,173
9804+8,44
49679+3,895
26636+13,0
49840+1,0
49679+2,1163
49840+0,4
49679+1,2458
49679+0,397
49679+7,41
49679+6,34
49679+5,36
49679+4,63
26636+10,26
26636+11,17
26636+12,6
71413+0,177
71413+1,12
71413+2,5
71413+3,0
49679+9,19
49679+8,16
9804+18,0
9804+17,6
16744+0,5
9804+16,12
9804+15,218
9804+14,221
9804+13,25
9804+12,230
9804+11,24
9804+10,1261
641+1,1109
641+0,249
641+3,1040
641+2,44
12659+0,0
641+5,900
641+4,41
641+7,1230
16744+1,0
641+6,32
53297+10,1
76652+1,173
76652+2,1
76652+0,9
9859+0,4
9859+1,0
64827+0,1
58544+1,6
58544+2,1
58544+0,341
641+9,13
641+8,18
98298+13,1
98298+12,4
98298+11,7
98298+10,16
61226+6,26
61226+7,9
61226+4,15
61226+5,34
61226+2,219
61226+3,28
61226+0,400
61226+1,255
88731+9,28
88731+8,44
88731+7,22
88731+6,24
61226+8,9
61226+9,4
14945+1,55
14945+0,584
14945+3,6551
14945+2,2063
10852+1,1
10852+0,5
14945+5,96
14945+4,714
14945+7,367
14945+6,37
14945+9,22
14945+8,36
68675+0,2944
19470+0,200
19470+1,2
68675+3,5115
68675+4,52
68675+1,1136
68675+2,38
68675+7,27
68675+8,1570
68675+5,35
68675+6,451
16900+7,23
16900+8,1305
16900+9,19
44968+20,0
16900+0,242
16900+1,32
16900+2,6684
16900+3,3572
68013+2,0
16900+4,44
68013+1,4
16900+5,38
68013+0,7
16900+6,2580
55679+0,0
14753+12,14
14753+13,10
14753+10,23
14753+11,18
14753+16,1
11749+9,11
14753+14,193
11749+7,47
14753+15,5
11749+8,12
11749+5,27
29831+10,19
11749+6,15
11749+3,34
11749+4,1266
29831+13,229
11749+1,43
29831+14,4
11749+2,74251
26628+3,1
29831+11,27
29831+12,13
11749+0,7504
24762+10,531
24762+12,15
24762+11,20
30006+18,15
24762+14,339
30006+17,193
24762+13,15
24762+16,169
30006+19,15
24762+15,9
30006+14,562
30006+13,36
30006+16,27
46935+0,8
30006+15,6530
46935+1,6
30006+10,1215
30006+12,2208
30006+11,40
44968+19,2
44968+11,33
44968+12,21
44968+13,525
44968+14,6624
44968+15,563
44968+16,395
44968+17,10
44968+18,168
26628+0,7693
68675+9,3109
26628+2,210
26628+1,11
44968+10,30
27996+0,331
27996+1,173
71004+9,209
27996+2,1
71004+8,31
71004+7,21
71004+6,29
71004+5,37
50160+0,0
71004+4,36
71004+3,363
71004+2,43
71004+1,47
46935+2,0
24762+18,0
24762+17,4
4232+13,195
4232+14,7
4232+15,5
4232+16,2
29831+4,47
4232+10,21
29831+5,61
4232+11,24
29831+6,1319
29831+15,4
4232+12,25
29831+7,48
29831+8,63
29831+9,1809
30006+21,8
29831+0,56
30006+20,12
29831+1,1103
30006+23,1
29831+2,234
30006+22,5
29831+3,256
72054+0,0
