UserID+Query#,Duration in ms
35034+1,629
67967+34,2
35034+0,120
67967+33,8
36468+1,24
36468+0,20
36468+3,16
36468+2,37
36468+5,11
36468+4,20
36468+7,4
36468+6,6
66996+9,2
66996+5,18
66996+6,18
66996+7,15
66996+8,9
10287+0,5112
10287+5,94
66996+1,33
10287+6,114
66996+2,50
10287+7,135
66996+3,30
10287+8,91
66996+4,22
10287+1,106
10287+2,151
10287+3,200
10287+4,190
66996+0,38
67967+18,64
18766+0,42
67967+17,165
18766+2,26
67967+19,51
18766+1,25
67967+14,84
18766+4,16
67967+13,74
18766+3,15
67967+16,105
18766+6,10
67967+15,200
18766+5,13
67967+10,95
18766+8,11
18766+7,11
67967+12,101
67967+11,4993
18766+9,1
65011+2,0
65011+0,6
65011+1,2
99567+0,9117
10287+9,117
67967+29,21
99567+4,85
67967+28,26
99567+3,172
99567+2,102
99567+1,98
67967+25,21
67967+24,48
67967+27,32
67967+26,34
67967+21,48
67967+20,62
67967+23,50
67967+22,41
42393+7,1
42393+6,5
42393+5,7
42393+4,11
42393+3,14
42393+2,29
42393+1,35
42393+0,24
42933+30,2
45309+2,9
45309+3,1
45309+0,11
45309+1,22
51741+4,1
51741+3,5
42933+19,79
42933+18,56
42933+17,87
42933+16,35
6397+5,1
42933+15,37
6397+4,73
42933+14,63
62801+21,43
6397+3,20
42933+13,125
62801+20,53
6397+2,13
42933+12,86
62801+23,41
6397+1,12
42933+11,67
62801+22,52
6397+0,22
42933+10,55
62801+25,19
62801+24,28
62801+27,11
62801+26,12
16712+9,73
62801+29,5
16712+8,141
62801+28,8
51741+2,9
51741+1,15
51741+0,19
42933+29,9
42933+28,19
42933+27,25
62801+30,1
42933+26,37
42933+25,31
42933+24,29
42933+23,25
42933+22,71
42933+21,22
42933+20,44
60302+8,6
60302+9,2
60302+6,19
60302+7,9
60302+4,24
60302+5,28
60302+2,21
60302+3,22
60302+0,27
60302+1,15
47664+0,120
47664+1,121
47664+2,112
47664+3,118
47664+4,104
47664+5,85
47664+6,214
47664+7,167
47664+8,153
47664+9,90
9018+9,17
9018+8,120
9018+7,21
9018+6,29
9018+5,39
9018+4,52
9018+3,45
9018+2,36
9018+1,37
9018+0,59
62801+10,58
62801+12,66
62801+11,71
62801+14,130
62801+13,82
62801+16,67
62801+15,90
62801+18,64
62801+17,45
62801+19,39
20308+30,205
20308+34,12
18108+30,20
20308+33,18
18108+31,16
20308+32,16
20308+31,17
18108+32,9
18108+33,3
18108+29,19
20308+36,0
20308+35,4
68681+1,9
68681+0,4469
20308+23,50
20308+22,40
68681+4,2
20308+21,52
68681+3,6
20308+20,66
68681+2,10
20308+27,36
20308+26,29
20308+25,36
20308+24,40
20308+29,21
20308+28,353
62801+8,70
3013+2,12
62801+9,64
3013+3,8
62801+6,72
3013+0,12
62801+7,69
3013+1,10
62801+4,96
62801+5,85
62801+2,124
3013+4,3
62801+3,112
3013+5,2
62801+0,142
62801+1,108
22647+1,141
22647+0,138
94189+0,191
94189+1,138
94189+2,218
94189+3,143
5847+10,172
5847+11,139
5847+12,4578
5847+13,117
5847+14,141
5847+15,104
5847+16,140
5847+17,124
5847+18,70
5847+19,115
94189+8,88
94189+9,72
94189+4,106
94189+5,110
94189+6,115
94189+7,110
22647+5,129
22647+4,125
22647+3,192
22647+2,180
22647+9,87
22647+8,4668
22647+7,95
22647+6,200
57842+1,20
57842+2,27
57842+0,21
57842+5,12
57842+6,12
57842+3,16
57842+4,10
5847+30,70
5847+31,49
5847+32,58
5847+33,55
5847+34,59
5847+35,21
5847+36,24
5847+37,26
5847+38,18
5847+39,18
54581+27,1
54581+26,5
92830+11,57
37995+0,104
54581+25,12
92830+10,148
37995+1,119
54581+24,12
54581+23,14
54581+22,5039
54581+21,24
54581+20,27
16712+5,119
37995+8,101
16712+4,221
37995+9,102
16712+7,88
37995+6,78
16712+6,113
37995+7,73
16712+1,106
37995+4,68
16712+0,115
37995+5,109
16712+3,108
37995+2,9680
16712+2,118
37995+3,101
32329+6,5
32329+7,2
32329+4,12
86157+2,1
5847+20,64
32329+5,9
5847+21,82
32329+2,22
86157+0,85
5847+22,48
32329+3,19
86157+1,4
5847+23,74
32329+0,24
5847+24,100
32329+1,18
5847+25,76
92830+19,68
5847+26,72
92830+18,47
5847+27,55
92830+17,44
5847+28,55
92830+16,67
54581+19,31
5847+29,45
92830+15,99
54581+18,33
92830+14,73
54581+17,43
92830+13,60
54581+16,56
92830+12,63
54581+15,44
92830+22,64
54581+14,80
48147+9,2
92830+21,46
54581+13,41
92830+20,34
54581+12,9210
48147+7,11
54581+11,52
48147+8,6
54581+10,148
48147+5,19
48147+6,11
48147+3,55
48147+4,24
48147+1,86
48147+2,44
48147+0,26
92830+29,21
92830+28,30
92830+27,25
92830+26,43
92830+25,51
92830+24,65
92830+23,57
16044+3,201
29767+6,74
92830+33,2
16044+2,225
29767+7,79
92830+32,8
16044+1,171
29767+8,91
92830+31,14
16044+0,184
29767+9,235
92830+30,15
16044+7,248
29767+2,62
16044+6,69
29767+3,155
16044+5,1005
29767+4,88
52480+1,0
16044+4,164
29767+5,241
52480+0,3
47085+5,2
16044+9,107
29767+0,137
16044+8,119
29767+1,126
47085+2,12
47085+1,17
47085+4,5
47085+3,4431
5847+40,12
5847+41,5
47085+0,22
57842+7,9
5847+42,1
57842+8,4
82424+2,112
82424+1,174
82424+0,193
82424+6,95
82424+5,9641
82424+4,95
82424+3,155
82424+9,88
82424+8,135
82424+7,138
93188+2,3
93188+1,22
93188+0,10
29635+12,8
29635+11,15
29635+10,19
29635+14,3
29635+13,5
76435+11,66
76435+12,72
76435+13,84
76435+14,65
76435+10,80
76435+19,66
76435+15,55
76435+16,52
76435+17,50
76435+18,56
31882+13,221
31882+12,72
31882+15,122
31882+14,50
31882+17,97
31882+16,144
31882+19,135
31882+18,78
31882+11,57
31882+10,90
94271+3,9014
76435+22,57
94271+2,152
76435+23,4529
94271+5,150
76435+24,22
94271+4,132
76435+25,21
94271+7,119
11199+2,17
94271+6,298
11199+3,8
94271+9,197
76435+20,53
11199+4,5
94271+8,4747
76435+21,53
11199+5,2
11199+0,16
11199+1,15
76435+26,34
76435+27,24
94271+1,200
76435+28,24
94271+0,102
76435+29,17
21347+8,4
21347+4,27
21347+5,14
21347+6,11
21347+7,25
94189+11,158
94189+12,69
94189+13,80
94189+14,55
94189+10,110
94189+19,56
94189+15,78
94189+16,72
94189+17,100
94189+18,80
84769+6,2
84769+5,6
31404+0,19
84769+0,28
84769+2,22
84769+1,25
84769+4,6
84769+3,13
53403+6,128
53403+7,75
53403+8,221
53403+9,130
53403+2,101
53403+3,102
53403+4,88
53403+5,200
15424+9,14
15424+0,55
94189+30,5
94189+31,0
15424+7,27
15424+8,17
15424+5,28
15424+6,28
15424+3,46
15424+4,35
15424+1,29
15424+2,42
94189+22,30
94189+23,53
94189+24,42
94189+25,95
94189+20,51
94189+21,43
94189+26,54
94189+27,27
94189+28,20
94189+29,13
20794+0,35
20794+2,14
20794+1,22
20794+4,1
20794+3,9
91511+11,62
91511+12,82
91511+10,118
20308+12,81
20308+11,52
20308+10,125
12802+1,101
12802+0,140
91511+19,91
20308+16,80
20308+15,89
91511+17,108
20308+14,67
91511+18,65
20308+13,64
91511+15,4615
91511+16,145
20308+19,67
91511+13,89
20308+18,63
91511+14,67
20308+17,121
12802+9,182
12802+8,103
12802+7,94
12802+6,105
12802+5,121
12802+4,66
12802+3,135
12802+2,161
58131+3,113
58131+4,9588
58131+5,142
58131+6,115
58131+0,117
58131+1,129
58131+2,140
58131+7,75
58131+8,108
58131+9,160
18532+1,106
18532+0,167
18532+5,74
18532+4,113
18532+3,239
18532+2,127
41087+0,39
18532+9,65
41087+1,43
89239+5,2
18532+8,111
41087+2,34
89239+4,9
53403+0,157
18532+7,85
41087+3,35
53403+1,4759
18532+6,106
41087+4,34
41087+5,21
41087+6,24
41087+7,16
41087+8,15
89239+1,24
89239+0,19
89239+3,11
89239+2,15
48700+1,36
48700+0,38
48700+3,17
48700+2,31
48700+5,7
31404+3,3
48700+4,12
48700+7,1
31404+1,13
48700+6,4490
31404+2,8
49751+0,18
49751+1,7
49751+2,5
49751+3,2
49751+4,1
21347+0,27
21347+1,20
21347+2,25
21347+3,15
94449+16,182
94449+17,123
94449+14,156
94449+15,206
94449+18,100
94449+19,133
31882+35,2
42420+1,100
31882+34,7
42420+2,83
42420+0,122
94449+12,175
42420+5,100
94449+13,173
42420+6,78
94449+10,91
42420+3,96
94449+11,111
42420+4,117
31882+31,18
31882+30,32
31882+33,19
31882+32,21
41087+9,12
60793+2,130
60793+3,38
60793+0,40
60793+1,54
94449+27,50
42420+9,61
94449+28,93
94449+25,121
42420+7,59
78868+0,0
94449+26,96
42420+8,66
94449+29,66
31882+24,51
88481+1,4549
94449+20,4491
31882+23,53
88481+0,18
31882+26,4546
31882+25,106
94449+23,107
31882+28,15
88481+5,2
94449+24,80
31882+27,30
88481+4,5
94449+21,72
88481+3,7
94449+22,130
31882+29,29
88481+2,9
31882+20,64
31882+22,51
31882+21,77
91511+33,25
91511+34,18
91511+31,25
91511+32,16
91511+30,21
94449+38,24
94449+39,15
94449+36,20
94449+37,22
94449+30,32
94449+31,81
94449+34,33
94449+35,25
94449+32,86
94449+33,49
60793+6,23
60793+7,21
60793+4,29
60793+5,35
91511+37,2
91511+35,12
60793+8,28
91511+36,3
60793+9,14
91511+22,127
91511+23,37
91511+20,64
91511+21,70
94449+41,0
94449+40,8
91511+28,64
91511+29,53
91511+26,59
91511+27,32
91511+24,51
91511+25,61
28166+2,114
28166+3,111
28166+0,191
56585+1,19
28166+1,115
56585+0,42
14677+19,65
28166+6,128
68901+0,28
28166+7,98
28166+4,97
68901+2,10
28166+5,120
68901+1,13
85409+15,91
21636+33,61
85409+14,117
21636+32,226
85409+13,102
28166+8,98
21636+35,35
85409+12,132
28166+9,118
21636+34,51
85409+11,227
21636+37,32
56585+3,10
85409+10,123
21636+36,43
56585+2,27
21636+39,34
56585+5,5
21636+38,37
56585+4,5
14677+20,53
14677+21,42
85409+19,141
85409+18,168
85409+17,98
21636+31,74
85409+16,99
21636+30,119
14677+26,35
14677+27,28
14677+28,25
14677+29,210
14677+22,55
14677+23,33
14677+24,377
14677+25,62
21636+44,12
21636+43,14
21636+46,5
21636+45,8
21636+47,0
22281+4,105
22281+5,90
22281+6,99
14677+10,74
22281+7,229
21636+40,28
22281+0,140
22281+1,98
21636+42,18
22281+2,4577
21636+41,16
22281+3,189
14677+15,587
68901+4,2
14677+16,93
68901+3,4
14677+17,71
14677+18,67
14677+11,79
22281+8,136
14677+12,162
22281+9,96
14677+13,129
14677+14,74
54231+11,114
54231+12,102
54231+10,107
54231+15,102
54231+16,94
54231+13,55
54231+14,90
54231+22,51
49853+0,73
54231+23,50
49853+1,4
54231+20,73
54231+21,54
54231+26,32
54231+27,56
54231+24,43
54231+25,48
49853+2,0
14677+30,16
14677+31,16
14677+32,11
54231+19,228
54231+17,102
54231+18,67
14677+33,12
14677+34,4
14677+35,1
30371+3,1
32126+7,160
30371+1,17
32126+8,253
30371+2,6
32126+5,107
32126+6,147
30371+0,16
32126+9,108
85409+40,7
32126+0,159
32126+3,140
32126+4,170
32126+1,328
32126+2,129
85409+42,2
85409+41,11
10260+1,19
10260+0,31
10260+5,5
51653+0,8
10260+4,10
10260+3,10
10260+2,22
51653+1,0
85409+37,10
85409+36,17
85409+35,16
85409+34,40
10260+6,3
85409+33,33
85409+32,29
85409+31,29
85409+30,39
85409+39,8
85409+38,16
73010+40,28
73010+41,29
73010+42,16
73010+43,12
73010+44,6
85409+26,39
73010+45,3
85409+25,44
73010+46,1
85409+24,68
85409+23,60
85409+22,89
85409+21,74
85409+20,85
85409+29,34
85409+28,39
85409+27,4533
54231+8,97
930+0,147
54231+9,140
54231+6,4850
54231+7,65
54231+4,131
930+4,88
54231+5,193
73010+30,61
930+3,81
54231+2,496
73010+31,40
930+2,101
54231+3,93
73010+32,42
930+1,84
54231+0,142
73010+33,48
18532+29,10
54231+1,165
73010+34,46
18532+28,13
73010+35,48
73010+36,26
73010+37,29
18532+25,21
73010+38,51
18532+24,27
73010+39,37
18532+27,14
18532+26,23
18532+30,3
73010+20,185
73010+21,107
73010+22,92
73010+23,94
73010+24,87
73010+25,55
73010+26,61
73010+27,46
73010+28,77
73010+29,66
73010+19,83
39955+6,2
39955+4,9
39955+5,14
39955+2,14
39955+3,22
39955+0,26
73010+10,170
39955+1,17
73010+11,151
73010+12,129
73010+13,4570
73010+14,120
73010+15,132
73010+16,131
73010+17,129
73010+18,71
930+15,115
45411+37,1
18532+10,58
930+14,125
930+17,84
18532+12,57
930+16,117
18532+11,92
930+19,73
45411+33,25
930+18,120
45411+34,9
45411+35,13
45411+36,6
45411+30,19
45411+31,40
45411+32,34
930+11,4622
930+10,130
930+13,53
930+12,55
20554+8,72
20554+7,77
20554+6,73
20554+5,134
20554+9,157
18532+18,55
18532+17,69
18532+19,82
45411+19,60
18532+14,101
18532+13,47
18532+16,76
18532+15,60
45411+26,62
18532+21,40
45411+27,42
18532+20,32
45411+28,31
18532+23,48
45411+29,19
18532+22,131
45411+22,72
45411+23,56
45411+24,33
45411+25,47
930+8,80
930+7,133
930+6,143
45411+20,107
930+5,115
45411+21,54
930+9,149
54231+33,26
76435+33,2
54231+34,20
54231+31,52
54231+32,31
54231+37,3
54231+38,0
76435+30,14
54231+35,13
76435+31,24
54231+36,10
76435+32,8
54231+30,23
62152+7,87
930+37,1
45411+15,99
62152+8,135
930+36,9
45411+16,79
62152+5,110
45411+17,171
62152+6,128
45411+18,149
62152+3,182
45411+11,102
14778+0,3
62152+4,212
45411+12,87
14778+1,0
62152+1,99
45411+13,109
62152+2,265
45411+14,65
20554+0,195
62152+0,184
54231+28,34
930+31,38
54231+29,30
930+30,16
45411+10,167
930+33,16
20554+4,124
930+32,26
20554+3,221
930+35,14
20554+2,109
930+34,16
20554+1,109
930+26,40
930+25,61
930+28,21
930+27,25
930+29,47
930+20,108
930+22,60
930+21,56
930+24,66
930+23,83
21636+19,133
21636+18,70
21636+11,128
21636+10,129
21636+13,8992
21636+12,99
21636+15,97
21636+14,91
21636+17,173
21636+16,4858
29635+6,25
29635+7,30
29635+8,27
29635+9,18
29635+2,39
29635+3,30
29635+4,46
29635+5,39
29635+0,4533
29635+1,50
21636+29,117
21636+22,153
2635+0,12
21636+21,107
21636+24,106
21636+23,100
21636+26,97
21636+25,92
2635+3,2
62152+9,171
21636+28,90
2635+2,4
21636+27,116
2635+1,9
82539+0,16
82539+1,12
21636+20,208
82539+2,7
82539+3,6
94271+16,83
94271+15,167
94271+14,91
94271+13,86
94271+12,137
94271+11,124
94271+10,119
22647+28,59
22647+29,33
22647+26,68
86773+1,157
22647+27,41
86773+0,146
22647+24,52
22647+25,73
22647+22,50
86773+5,74
22647+23,64
86773+4,153
22647+20,65
86773+3,114
94522+0,25
22647+21,55
86773+2,107
94522+2,5
22647+30,24
94522+1,10
94522+3,1
94271+27,71
94271+26,371
94271+25,64
94271+24,82
94271+23,95
94271+22,103
94271+21,59
94271+20,589
94271+19,88
94271+18,114
94271+17,86
22647+37,2
22647+35,20
22647+36,11
22647+33,26
22647+34,12
22647+31,20
22647+32,19
50465+0,21
50465+1,0
86773+9,79
86773+8,144
86773+7,170
86773+6,134
37498+19,83
37498+15,65
37498+16,91
37498+17,273
37498+18,64
4000+5,111
63453+3,111
37498+22,71
4000+6,115
63453+2,140
37498+23,45
4000+3,125
63453+5,74
37498+24,53
4000+4,127
63453+4,70
37498+25,45
4000+1,143
4000+2,293
63453+1,106
37498+20,58
4000+0,143
63453+0,123
37498+21,49
4000+9,92
4000+7,205
4000+8,4605
88560+0,20
88560+1,30
88560+2,11
88560+3,8
88560+4,11
88560+5,8
88560+6,2
63453+7,184
37498+26,39
23011+2,4
63453+6,107
37498+27,43
23011+3,2
63453+9,56
37498+28,38
23011+0,9
63453+8,69
37498+29,32
23011+1,31
37498+33,90
37498+34,24
37498+35,21
37498+36,19
37498+30,40
37498+31,31
37498+32,33
94271+30,35
40151+1,122
40151+0,160
73732+0,149
94271+38,14
40151+9,107
94271+37,18
40151+8,103
94271+36,18
40151+7,98
35513+0,17
94271+35,19
40151+6,9187
35513+1,11
94271+34,41
40151+5,135
35513+2,9
94271+33,33
40151+4,108
35513+3,7
94271+32,36
40151+3,105
35513+4,1
94271+31,197
40151+2,287
76419+0,56
76419+1,55
76419+2,35
76419+3,31
94271+29,51
76419+4,33
94271+28,30
76419+5,25
76419+6,34
76419+7,23
76419+8,12
76419+9,20
94271+41,2
31262+0,26
94271+40,4
31262+2,50
31262+1,31
31262+8,1
31262+7,6
31262+4,30
31262+3,19
31262+6,17
31262+5,12
14972+4,92
37498+11,105
14972+5,79
37498+12,84
14972+2,113
37498+13,92
14972+3,84
37498+14,74
73732+9,184
14972+8,4670
14972+9,93
14972+6,91
94271+39,9
14972+7,69
37498+10,137
73732+5,220
73732+6,172
73732+7,209
73732+8,122
73732+1,5225
14972+0,115
73732+2,189
14972+1,9058
73732+3,236
73732+4,153
16712+17,65
16712+18,113
16712+15,144
16712+16,67
16712+13,80
16712+14,79
16712+11,110
16712+12,116
16712+10,106
41985+6,2
25417+30,0
41985+4,8
41985+5,8
41985+2,10
41985+3,18
3932+0,5
3932+1,7
16712+19,92
3932+2,2
16712+28,67
16712+29,32
16712+26,83
16712+27,69
16712+24,70
25417+27,9
16712+25,49
25417+26,11
92432+0,39
16712+22,49
25417+29,8
16712+23,56
25417+28,15
16712+20,58
25417+23,42
16712+21,58
25417+22,38
25417+25,26
25417+24,40
25417+21,109
25417+20,30
92432+9,2
92432+3,23
92432+4,19
92432+1,30
92432+2,58
92432+7,12
92432+8,11
92432+5,15
92432+6,11
65268+11,1
65268+10,7
64193+0,0
62905+1,11
62905+2,3
62905+0,10
5847+9,163
5847+7,117
5847+8,149
5847+5,127
5847+6,213
16712+39,13
5847+3,246
5847+4,284
16712+37,16
5847+1,144
16712+38,15
5847+2,133
16712+35,15
16712+36,20
5847+0,9196
16712+33,32
16712+34,73
16712+31,48
16712+32,35
16712+30,56
41985+0,23
41985+1,21
16712+40,4
16712+41,1
28166+18,113
28166+17,4554
28166+16,166
28166+15,111
28166+14,98
28166+13,120
28166+12,136
28166+11,9125
87984+1,17
79053+29,33
87984+2,16
79053+28,109
87984+3,25
79053+27,17
87984+4,13
79053+26,23
37021+10,59
79053+25,72
79053+24,28
28166+19,141
79053+23,48
87984+0,26
58249+10,156
79053+31,2
58249+11,198
79053+30,8
28166+21,99
58249+16,91
28166+20,166
58249+17,142
58249+18,167
58249+19,117
58249+12,220
58249+13,156
58249+14,72
58249+15,128
28166+29,39
28166+28,93
28166+27,148
28166+26,95
28166+25,122
28166+24,83
62985+31,14
28166+23,77
62985+30,20
28166+22,69
37021+20,81
37021+21,71
37021+13,60
68332+1,37
58249+20,4605
37021+14,56
68332+2,44
58249+21,99
37021+11,126
58249+22,91
37021+12,92
68332+0,38
37021+17,56
37021+18,69
37021+15,94
37021+16,88
62985+33,5
28166+32,72
58249+27,87
68332+9,19
62985+32,6
28166+31,62
58249+28,43
28166+30,75
58249+29,40
37021+19,54
68332+7,30
62985+34,1
68332+8,19
58249+23,80
68332+5,28
58249+24,69
68332+6,33
58249+25,77
68332+3,48
58249+26,74
68332+4,43
28166+39,16
28166+38,28
28166+37,24
28166+36,47
28166+35,32
62985+20,371
28166+34,44
28166+33,64
96860+2,1
37021+31,16
96860+1,5
37021+32,16
96860+0,4508
37021+30,26
37021+24,45
62985+29,14
37021+25,35
37021+22,58
37021+23,55
37021+28,99
73477+3,8
37021+29,15
73477+4,8
37021+26,39
73477+5,2
37021+27,21
62985+22,51
28166+43,12
62985+21,81
28166+42,7
62985+24,29
28166+41,14
62985+23,192
28166+40,24
62985+26,30
62985+25,35
62985+28,22
62985+27,23
28166+45,0
28166+44,9
73477+0,34
73477+1,17
73477+2,10
62985+19,63
37021+35,3
62985+18,86
37021+33,10
37021+34,6
62985+11,58
62985+10,78
62985+13,89
62985+12,69
62985+15,696
62985+14,53
62985+17,56
62985+16,518
23842+39,16
62985+1,70
25229+5,3
62985+2,75
62985+3,88
62985+4,90
23842+35,52
62985+5,93
23842+36,34
62985+6,9050
23842+37,16
62985+7,4555
23842+38,26
62985+8,104
23842+31,63
62985+9,153
23842+32,47
23842+33,33
23842+34,33
90338+28,42
23842+30,251
90338+29,47
90338+26,66
42420+11,50
90338+27,35
42420+10,4730
90338+24,81
90338+25,71
90338+22,65
90338+23,30
90338+20,76
90338+21,78
42420+19,33
42420+18,58
42420+17,66
42420+16,62
42420+15,72
96411+4,8
42420+14,49
96411+5,5
42420+13,57
42420+12,55
23842+42,5
23842+43,1
90338+19,78
23842+40,14
90338+17,47
23842+41,11
90338+18,47
90338+15,127
42420+22,41
90338+16,74
42420+21,77
90338+13,154
42420+20,48
90338+14,138
90338+11,155
90338+12,163
90338+10,111
42420+29,9
42420+28,9
42420+27,15
42420+26,22
42420+25,103
42420+24,25
62985+0,106
42420+23,20
23842+17,85
23842+18,81
23842+19,70
23842+13,95
23842+14,92
23842+15,75
23842+16,74
23842+10,143
23842+11,98
23842+12,99
58249+30,48
79053+11,53
58249+31,58
79053+10,87
58249+32,28
58249+33,30
90338+40,1
58249+38,9
58249+39,16
58249+34,56
58249+35,31
58249+36,25
58249+37,18
23842+28,420
49886+15,2
96411+0,11
23842+29,79
96411+1,21
49886+13,8
96411+2,27
49886+14,5
96411+3,7
23842+24,69
49886+11,15
23842+25,82
49886+12,9
23842+26,81
23842+27,64
49886+10,4449
62152+16,55
23842+20,108
79053+19,53
62152+17,70
23842+21,43
79053+18,211
62152+14,121
23842+22,61
79053+17,64
62152+15,95
23842+23,84
79053+16,79
62152+12,163
79053+15,60
62152+13,121
79053+14,98
62152+10,135
90338+39,8
79053+13,80
62152+11,88
79053+12,165
90338+37,22
58249+41,2
78387+9,81
79053+22,105
90338+38,16
78387+8,117
79053+21,37
90338+35,12
78387+7,232
79053+20,41
90338+36,15
78387+6,112
90338+33,17
78387+5,98
87984+5,11
90338+34,31
78387+4,104
87984+6,4
90338+31,48
78387+3,108
87984+7,3
90338+32,22
58249+40,13
78387+2,132
78387+1,155
90338+30,36
78387+0,153
25229+0,31
25229+1,17
25229+2,21
25229+3,11
25229+4,8
58249+1,247
58249+2,133
58249+0,200
58249+5,103
58249+6,117
58249+3,157
58249+4,106
39758+1,52
39758+2,37
39758+0,70
39758+5,31
39758+6,19
39758+3,51
39758+4,27
39758+9,18
39758+7,32
39758+8,23
58249+9,166
58249+7,185
58249+8,107
42420+31,2
42420+30,7
37468+3,2
37468+1,8
37468+2,6
85850+8,4570
85850+7,138
37468+0,18
85850+6,92
80089+0,4
85850+5,9248
80089+1,7
85850+9,97
85850+0,72
85850+4,116
80089+2,2
85850+3,123
85850+2,139
85850+1,124
36418+9,81
36418+8,60
36418+7,71
36418+6,55
36418+5,61
36418+4,87
36418+3,71
10287+29,33
36418+2,106
36418+1,111
36418+0,126
10287+31,23
10287+30,116
10287+36,1
10287+33,27
10287+32,17
10287+35,3
10287+34,21
42173+2,17
42173+3,22
42173+0,20
42173+1,26
10287+15,86
42173+6,3
10287+14,153
76157+5,1
10287+17,77
42173+4,13
76157+4,5
10287+16,91
42173+5,7
76157+3,8
10287+11,83
76157+2,17
10287+10,149
76157+1,31
10287+13,89
76157+0,22
10287+12,94
10287+19,40
10287+18,101
60668+0,11
60668+3,3
60668+2,8
60668+1,11
10287+20,220
55919+1,20
55919+0,16
22647+19,115
22647+17,79
22647+18,109
28166+10,100
10287+26,31
22647+15,98
10287+25,38
22647+16,90
10287+28,49
22647+13,57
10287+27,73
22647+14,98
10287+22,84
22647+11,102
55919+3,9
10287+21,44
22647+12,131
55919+2,11
10287+24,69
10287+23,83
22647+10,112
55919+4,3
82424+10,129
82424+11,135
86641+1,49
86641+0,119
86641+5,37
86641+4,50
86641+3,66
86641+2,52
82424+18,134
82424+19,102
82424+16,98
82424+17,156
82424+14,97
82424+15,87
82424+12,206
82424+13,118
82424+21,80
67967+9,104
15424+10,10
82424+22,114
67967+8,88
15424+11,8
67967+7,96
15424+12,3
82424+20,102
67967+6,269
67967+5,166
