UserID+Query#,Duration in ms
40151+29,21
40151+28,30
22281+30,30
22281+31,15
22281+32,21
22281+22,84
40151+30,80
22281+23,60
22281+24,67
22281+25,62
22281+26,39
22281+27,73
22281+28,40
22281+29,40
40151+35,0
40151+34,3
40151+33,8
40151+32,9
40151+31,11
85850+32,21
3248+0,20
85850+33,7
3248+1,12
85850+34,8
3248+2,6
85850+35,2
3248+3,3
3248+4,0
22281+20,88
85850+30,27
22281+21,149
85850+31,14
22281+11,128
22281+12,166
22281+13,79
22281+14,153
22281+15,97
22281+16,379
22281+17,116
22281+18,272
22281+19,86
85850+29,18
85850+25,109
85850+26,35
85850+27,47
85850+28,49
85850+21,57
85850+22,36
85850+23,40
85850+24,31
22281+10,76
85850+20,54
85850+18,53
85850+19,75
85850+14,60
85850+15,83
85850+16,68
85850+17,63
85850+10,78
85850+11,111
85850+12,55
85850+13,72
49848+1,123
49848+0,118
49848+3,133
49848+2,91
83234+7,4464
83234+8,13
83234+9,8
83234+3,30
83234+4,43
83234+5,44
83234+6,29
83234+0,112
83234+1,39
83234+2,27
99567+26,24
99567+25,11
99567+28,10
99567+27,19
99567+29,2
99567+20,36
99567+22,44
99567+21,58
99567+24,212
99567+23,44
67021+3,97
99567+15,53
67021+4,194
99567+14,4613
67021+1,116
99567+17,137
67021+2,140
99567+16,90
99567+19,42
67021+0,129
99567+18,51
40151+16,62
40151+15,62
67021+9,85
40151+14,86
40151+13,59
67021+7,139
40151+12,97
99567+11,67
86006+4,5
67021+8,74
40151+11,4637
99567+10,171
86006+3,6
67021+5,107
40151+10,200
99567+13,47
67021+6,774
99567+12,56
86006+5,1
86006+0,4568
86006+2,17
86006+1,19
40151+19,66
40151+18,77
40151+17,52
22281+33,24
49848+9,98
22281+34,9
49848+8,4730
22281+35,26
22281+36,10
22281+37,0
49848+5,118
49848+4,144
49848+7,146
49848+6,154
40151+27,237
49715+3,3
40151+26,36
40151+25,45
49715+1,12
40151+24,47
49715+2,11
40151+23,396
40151+22,57
49715+0,15
40151+21,42
40151+20,72
28644+3,22
28644+4,22
28644+5,23
28644+6,17
28644+7,14
28644+8,6
28644+9,2
99567+8,73
18108+9,88
99567+7,85
99567+6,85
99567+5,117
28644+0,29
28644+1,23
99567+9,51
28644+2,118
44906+10,149
76419+13,2
44906+13,99
44906+14,94
44906+11,133
44906+12,79
44906+17,82
18108+2,68
44906+18,87
18108+1,210
44906+15,70
18108+4,106
44906+16,87
18108+3,102
18108+6,88
76419+11,6
18108+5,93
76419+12,6
44906+19,54
18108+8,73
18108+7,120
76419+10,11
51043+4,3
52918+2,5
51043+0,15
52918+3,0
51043+1,6
18108+0,123
52918+0,9
51043+2,2
52918+1,9
51043+3,13
1631+6,3
1631+4,9
1631+5,5
1631+2,13
1631+3,8
1631+0,15
1631+1,24
44906+20,88
44906+21,57
44906+24,81
44906+25,39
44906+22,37
44906+23,62
44906+28,39
44906+29,30
44906+26,42
44906+27,45
17057+13,8
17057+12,8
17057+14,3
20308+3,92
20308+2,99
20308+5,70
17057+11,11
20308+4,106
17057+10,17
20308+1,135
20308+0,120
44906+31,32
44906+32,36
44906+30,19
44906+35,12
20308+7,119
44906+36,7
20308+6,98
44906+33,33
20308+9,132
44906+34,13
20308+8,180
93561+3,3
44906+37,5
93561+1,4
44906+38,1
93561+2,8
93561+0,7
67967+30,16
35034+7,83
35034+6,128
35034+5,95
35034+4,120
35034+9,82
35034+8,83
36468+8,2
35034+3,106
67967+32,8
35034+2,80
67967+31,9
