UserID+Query#,Duration in ms
6314+4,0
6314+3,10
6314+2,19
6314+1,46
6314+0,12
86773+1,16
36929+4,5
86773+0,6
36929+5,1
36929+2,10
36929+3,8
36929+0,12
36929+1,16
86773+3,1
94522+0,4
86773+2,4
94522+1,0
49619+0,10
49619+1,5
7650+1,14
7650+2,8
7650+3,1
50465+0,17
50465+1,0
64031+3,11
64031+4,7
64031+5,5
7650+0,13
64031+6,1
49619+2,2
83935+2,0
83935+1,4
83935+0,6
64031+0,20
64031+1,17
64031+2,21
23776+3,0
23776+2,2
23776+1,7
23776+0,14
49848+1,6
49848+0,16
49848+2,1
84999+4,49
42933+1,1
84999+5,45
42933+0,14
84999+2,51
84999+3,36
84999+0,251
90338+0,7
84999+1,80
90338+1,0
63453+1,1
4000+0,1
63453+0,4
84999+8,12
84999+9,17
84999+6,35
84999+7,18
83234+0,8
83234+1,12
83234+2,1
25387+1,19
88560+0,19
25387+0,20
88560+1,29
25387+3,13
88560+2,14
25387+2,5065
88560+3,12
25387+5,6
88560+4,9
25387+4,7
88560+5,6
88560+6,1
25387+6,1
23011+0,5
23011+1,3
40151+1,5
40151+0,10
73732+0,73
73109+1,1
73109+0,4
40151+2,0
67021+3,11
2324+0,15
67021+4,4
2324+1,12
67021+1,26
2324+2,9
76419+0,17
67021+2,16
2324+3,0
76419+1,7
76419+2,4
67021+0,16
76419+3,3
76419+4,0
77359+4,1
86006+3,0
67021+5,0
86006+0,18
31262+0,25
86006+2,5
31262+2,13
86006+1,7
31262+1,8
77359+0,11
77359+1,14
77359+2,9
60811+0,1
77359+3,2
31262+4,0
31262+3,2
14972+2,1
73732+9,14
73732+5,58
73732+6,41
73732+7,26
80627+4,2
73732+8,26
73732+1,47
14972+0,25
80627+2,7
73732+2,44
14972+1,10
80627+3,4
73732+3,54
80627+0,10
73732+4,35
80627+1,4587
28644+3,12
28644+4,4
28644+5,2
25517+5,4
15482+2,5
25517+6,1
15482+1,18
25517+3,12
25517+4,7
15482+3,2
88305+0,11
28644+0,28
88305+2,3
28644+1,18
88305+1,4
28644+2,15
15482+0,11
41985+4,1
32126+10,6
69453+0,1
41985+2,4
32126+11,2
41985+3,8
3932+0,10
3932+1,4
3932+2,0
18108+2,14
89095+0,8
97654+2,0
18108+1,26
88305+3,0
89095+1,5
97654+1,5
18108+4,1
89095+2,1
97654+0,13
18108+3,5
25517+1,18
25517+2,20
92432+0,24
25517+0,4574
51043+4,0
51043+0,15
51043+1,11
18108+0,19
52918+0,5
51043+2,4
52918+1,0
51043+3,10
59378+2,14
59378+1,4592
1631+4,0
59378+0,17
1631+2,5
1631+3,2
1631+0,15
1631+1,6
92432+3,13
92432+4,7
92432+1,17
92432+2,10
92432+5,1
59378+4,1
59378+3,3
58417+1,12
58417+0,19
58417+3,1
58417+2,7
20308+2,0
20308+1,4
20308+0,12
76435+1,3
76435+0,15
76435+2,1
34926+0,6
34926+1,2
34926+2,0
9237+2,1
9237+3,0
90698+3,1
90698+2,5
90698+1,10
90698+0,13
9237+0,6
9237+1,4
25417+0,24
25417+1,13
25417+2,10
25417+3,6
35034+5,0
35034+4,4
97358+0,10
97358+2,0
97358+1,4
35034+3,6
35034+2,8
35034+1,15
35034+0,26
36468+1,9
36468+0,18
36468+3,2
36468+2,4
24147+3,3
24147+4,0
36468+4,0
24147+1,9
24147+2,8
24147+0,10
13887+5,11
13887+4,22
13887+3,32
13887+2,40
13887+1,34
25417+4,4
13887+0,50
25417+5,1
10287+0,2
66996+1,9
66996+2,7
66996+3,0
10287+1,0
66996+0,11
5847+3,1
5847+1,9
13645+1,5
5847+2,3
13645+0,10
13645+3,1
18766+0,12
